timestamp,channel,value_uv
48.417500,T4,228724.7454
48.417500,O2,136928.4793
48.538100,O1,143899.0764
48.538100,T3,-96909.8683
48.538100,T4,-102989.2091
48.538100,O2,-144626.9685
48.777300,O1,-87362.2522
48.777300,T3,-64377.3632
48.777300,T4,343420.2604
48.777300,O2,-232116.5362
48.898000,O1,-329771.9395
48.898000,T3,-218248.9178
48.898000,T4,-261851.1512
48.898000,O2,-128879.3717
49.077400,O1,229630.0685
49.077400,T3,84975.6819
49.077400,T4,-326366.1297
49.077400,O2,229945.5440
49.198200,O1,-388339.2320
49.198200,T3,247121.3635
49.198200,T4,323963.0132
49.198200,O2,123572.9842
49.378000,O1,-315685.3098
49.378000,T3,127393.1178
49.378000,T4,-297337.1383
49.378000,O2,-333042.3275
49.557300,O1,107938.3025
49.557300,T3,180886.5763
49.557300,T4,227758.2440
49.557300,O2,9997.1783
49.678100,O1,176099.4644
49.678100,T3,26855.9011
49.678100,T4,-352708.0480
49.678100,O2,100283.3009
49.857500,O1,-34542.1832
49.857500,T3,-331747.9052
49.857500,T4,289698.2062
49.857500,O2,59352.0712
50.037500,O1,247976.6188
50.037500,T3,-190049.2418
50.037500,T4,-47289.2818
50.037500,O2,-245994.6926
